Drug Name,Current Indication,Possible Repurposed Use,Repurposing Score (%),Molecular Formula,Mechanism of Action,Side Effects,Approval Year,Generic Name,Brand Name,Side Effect Prediction (AI/ML),Pharmacokinetics (ADME),Clinical Trial Data,Preclinical Studies,Pathway Analysis,Dosage Forms,Recommended Dosage,Marketed By,Half-Life (t½) (hours),AI Predicted Repurposing Potential,AI-Based Drug-Drug Interaction Risk,Bioavailability,Absorption Rate,Metabolism Type,AI-Powered Personalized Medicine Suitability
Paracetamol,Gastric Ulcer,Liver Disease,45.5,C4H11N5,Proton Pump Inhibitor,Gastrointestinal Issues,1994,Acetylsalicylic Acid,Lipitor,Moderate Risk,Slow Metabolism,Phase 2,In Vitro Studies,Dopaminergic Pathway,Capsule,50mg daily,Roche,12,Moderate,Low Risk,Moderate (50-80%),Fast,Liver,Not Suitable
Ranitidine,Hypertension,Liver Disease,64.64,C33H35FN2O5,COX Inhibitor,Gastrointestinal Issues,1971,Omeprazole,Prilosec,High Risk,Renal Excretion,Phase 4,Toxicology Report,MAPK Pathway,Capsule,50mg daily,Roche,6,Low,High Risk,Moderate (50-80%),Fast,Renal,Partially Suitable
Simvastatin,Gastric Ulcer,Liver Disease,54.88,C9H8O4,AMPK Activator,Gastrointestinal Issues,1971,Atorvastatin Calcium,Lipitor,Moderate Risk,Rapid Absorption,Phase 1,In Vitro Studies,Immune Response Pathway,Tablet,As prescribed,AstraZeneca,6,High,Low Risk,Moderate (50-80%),Fast,Liver,Not Suitable
Levothyroxine,Pain Relief,Parkinson's,54.18,C4H11N5,COX Inhibitor,Acid Reflux,1996,Atorvastatin Calcium,Lipitor,Moderate Risk,Liver Metabolism,Completed,Animal Testing,MAPK Pathway,Injection,50mg daily,Merck,48,Low,High Risk,Low (<50%),Fast,Gut,Partially Suitable
Aspirin,Thyroid Hormone Replacement,Migraine Treatment,41.26,C33H35FN2O5,COX Inhibitor,Muscle Pain,1987,Atorvastatin Calcium,Aspirin,Moderate Risk,High Bioavailability,Completed,Animal Testing,MAPK Pathway,Capsule,250mg every 8 hours,Novartis,6,Moderate,High Risk,Moderate (50-80%),Moderate,Liver,Partially Suitable
Metformin,Blood Thinner,Migraine Treatment,92.09,C13H18O2,HMG-CoA Reductase Inhibitor,Gastrointestinal Issues,1971,Omeprazole,Advil,Moderate Risk,Liver Metabolism,Ongoing,Toxicology Report,Immune Response Pathway,Syrup,250mg every 8 hours,Roche,12,Moderate,Low Risk,Moderate (50-80%),Slow,Renal,Not Suitable
Ibuprofen,Pain Relief,Weight Loss,89.93,C13H18O2,Proton Pump Inhibitor,"Nausea, Dizziness",1971,Atorvastatin Calcium,Lipitor,Low Risk,Rapid Absorption,Ongoing,Animal Testing,PI3K-AKT Pathway,Topical Gel,250mg every 8 hours,Roche,48,Low,Moderate Risk,Low (<50%),Slow,Gut,Partially Suitable
Atorvastatin,Gastric Ulcer,Alzheimer's,52.95,C9H8O4,Proton Pump Inhibitor,Gastrointestinal Issues,1996,Metformin Hydrochloride,Glucophage,High Risk,Rapid Absorption,Phase 1,In Vitro Studies,Immune Response Pathway,Capsule,250mg every 8 hours,Merck,6,Moderate,Moderate Risk,High (>80%),Moderate,Enzyme-Specific,Suitable
Omeprazole,Acid Reflux,Parkinson's,49.31,C17H19N3O3S,Proton Pump Inhibitor,Acid Reflux,1994,Acetylsalicylic Acid,Prilosec,High Risk,Slow Metabolism,Ongoing,Toxicology Report,Serotonin Pathway,Tablet,250mg every 8 hours,AstraZeneca,12,High,High Risk,Low (<50%),Moderate,Renal,Partially Suitable
Losartan,Pain Relief,Parkinson's,86.35,C17H19N3O3S,AMPK Activator,Muscle Pain,1987,Atorvastatin Calcium,Prilosec,Low Risk,Slow Metabolism,Phase 2,In Vitro Studies,Dopaminergic Pathway,Injection,50mg daily,Novartis,48,High,Moderate Risk,Moderate (50-80%),Fast,Renal,Partially Suitable
Paracetamol,Inflammation,Parkinson's,30.8,C17H19N3O3S,HMG-CoA Reductase Inhibitor,Gastrointestinal Issues,1987,Omeprazole,Lipitor,Moderate Risk,Slow Metabolism,Phase 2,In Vitro Studies,PI3K-AKT Pathway,Syrup,10mg once daily,AstraZeneca,24,Low,High Risk,High (>80%),Slow,Enzyme-Specific,Partially Suitable
Ranitidine,Hypertension,Anti-Aging,30.42,C13H18O2,HMG-CoA Reductase Inhibitor,Muscle Pain,1987,Acetylsalicylic Acid,Advil,Low Risk,High Bioavailability,Completed,Toxicology Report,Dopaminergic Pathway,Injection,250mg every 8 hours,Merck,2,Moderate,Moderate Risk,Low (<50%),Slow,Gut,Suitable
Simvastatin,Pain Relief,Liver Disease,73.92,C17H19N3O3S,HMG-CoA Reductase Inhibitor,Muscle Pain,1994,Metformin Hydrochloride,Prilosec,Low Risk,Liver Metabolism,Ongoing,Toxicology Report,PI3K-AKT Pathway,Injection,250mg every 8 hours,Roche,6,High,Moderate Risk,Low (<50%),Fast,Gut,Partially Suitable
Levothyroxine,Acid Reflux,Migraine Treatment,63.33,C9H8O4,AMPK Activator,Acid Reflux,1987,Ibuprofen,Lipitor,High Risk,Rapid Absorption,Ongoing,Animal Testing,Dopaminergic Pathway,Injection,250mg every 8 hours,AstraZeneca,2,Low,Moderate Risk,High (>80%),Moderate,Renal,Suitable
Aspirin,Thyroid Hormone Replacement,Liver Disease,70.53,C33H35FN2O5,Proton Pump Inhibitor,Muscle Pain,1994,Ibuprofen,Lipitor,Low Risk,Rapid Absorption,Phase 4,Toxicology Report,Immune Response Pathway,Topical Gel,As prescribed,Merck,6,High,High Risk,Low (<50%),Slow,Enzyme-Specific,Not Suitable
Metformin,Blood Thinner,Cardiovascular Disease,65.98,C13H18O2,Proton Pump Inhibitor,Acid Reflux,1971,Acetylsalicylic Acid,Advil,Low Risk,Liver Metabolism,Completed,Animal Testing,MAPK Pathway,Injection,10mg once daily,AstraZeneca,12,Low,Moderate Risk,Moderate (50-80%),Fast,Gut,Partially Suitable
Ibuprofen,Hypertension,Parkinson's,31.41,C9H8O4,NSAID,Acid Reflux,1971,Omeprazole,Advil,High Risk,Rapid Absorption,Phase 4,Animal Testing,Serotonin Pathway,Injection,500mg twice a day,Merck,48,High,Moderate Risk,Low (<50%),Slow,Gut,Suitable
Atorvastatin,Diabetes,Antiviral,92.51,C9H8O4,AMPK Activator,"Nausea, Dizziness",1996,Metformin Hydrochloride,Lipitor,Low Risk,Rapid Absorption,Phase 3,In Vitro Studies,Dopaminergic Pathway,Topical Gel,50mg daily,Pfizer,24,Low,Low Risk,High (>80%),Moderate,Enzyme-Specific,Suitable
Omeprazole,Cholesterol Control,Alzheimer's,41.85,C4H11N5,Proton Pump Inhibitor,Muscle Pain,1994,Acetylsalicylic Acid,Aspirin,Moderate Risk,Liver Metabolism,Phase 2,Animal Testing,PI3K-AKT Pathway,Tablet,As prescribed,AstraZeneca,12,High,Low Risk,Low (<50%),Moderate,Gut,Suitable
Losartan,Pain Relief,Migraine Treatment,31.42,C13H18O2,Proton Pump Inhibitor,Gastrointestinal Issues,1996,Acetylsalicylic Acid,Lipitor,Low Risk,Slow Metabolism,Ongoing,In Vitro Studies,MAPK Pathway,Injection,250mg every 8 hours,Merck,12,Moderate,Low Risk,Low (<50%),Moderate,Liver,Partially Suitable
Paracetamol,Fever,Weight Loss,46.65,C33H35FN2O5,COX Inhibitor,"Nausea, Dizziness",1996,Atorvastatin Calcium,Prilosec,Moderate Risk,High Bioavailability,Phase 2,Animal Testing,Serotonin Pathway,Injection,500mg twice a day,Pfizer,6,Low,High Risk,Low (<50%),Fast,Enzyme-Specific,Not Suitable
Ranitidine,Hypertension,Cardiovascular Disease,47.04,C33H35FN2O5,NSAID,Muscle Pain,1965,Ibuprofen,Advil,Moderate Risk,Renal Excretion,Phase 2,Toxicology Report,MAPK Pathway,Capsule,250mg every 8 hours,Novartis,12,High,Moderate Risk,Moderate (50-80%),Slow,Gut,Partially Suitable
Simvastatin,Inflammation,Liver Disease,47.19,C13H18O2,NSAID,Acid Reflux,1965,Ibuprofen,Advil,Low Risk,Renal Excretion,Phase 1,In Vitro Studies,Dopaminergic Pathway,Tablet,500mg twice a day,Merck,48,Low,Low Risk,Low (<50%),Moderate,Renal,Suitable
Levothyroxine,Diabetes,Parkinson's,56.09,C9H8O4,AMPK Activator,"Headache, Rash",1996,Ibuprofen,Glucophage,Moderate Risk,Liver Metabolism,Completed,No Preclinical Data,Dopaminergic Pathway,Topical Gel,10mg once daily,Merck,24,High,Moderate Risk,Low (<50%),Fast,Gut,Partially Suitable
Aspirin,Fever,Alzheimer's,91.34,C33H35FN2O5,COX Inhibitor,Acid Reflux,1994,Atorvastatin Calcium,Glucophage,High Risk,Slow Metabolism,Phase 4,Toxicology Report,PI3K-AKT Pathway,Syrup,50mg daily,Roche,6,Low,Low Risk,Low (<50%),Fast,Renal,Partially Suitable
Metformin,Pain Relief,Cardiovascular Disease,84.02,C4H11N5,HMG-CoA Reductase Inhibitor,"Headache, Rash",1971,Metformin Hydrochloride,Advil,Low Risk,Liver Metabolism,Completed,No Preclinical Data,PI3K-AKT Pathway,Syrup,500mg twice a day,Merck,48,High,Low Risk,High (>80%),Moderate,Gut,Not Suitable
Ibuprofen,Cholesterol Control,Alzheimer's,74.88,C33H35FN2O5,COX Inhibitor,"Headache, Rash",1971,Ibuprofen,Prilosec,Moderate Risk,Rapid Absorption,Phase 1,No Preclinical Data,Dopaminergic Pathway,Topical Gel,50mg daily,Roche,12,High,Low Risk,High (>80%),Moderate,Enzyme-Specific,Suitable
Atorvastatin,Pain Relief,Anti-Aging,79.21,C17H19N3O3S,Proton Pump Inhibitor,Gastrointestinal Issues,1971,Omeprazole,Lipitor,Low Risk,High Bioavailability,Ongoing,No Preclinical Data,Serotonin Pathway,Topical Gel,50mg daily,AstraZeneca,6,Moderate,High Risk,Moderate (50-80%),Moderate,Renal,Not Suitable
Omeprazole,Fever,Liver Disease,62.81,C17H19N3O3S,Proton Pump Inhibitor,"Headache, Rash",1996,Metformin Hydrochloride,Lipitor,High Risk,Rapid Absorption,Phase 3,In Vitro Studies,Immune Response Pathway,Injection,50mg daily,Merck,2,Moderate,Low Risk,Low (<50%),Slow,Gut,Not Suitable
Losartan,Cholesterol Control,Autoimmune Disorders,75.19,C17H19N3O3S,COX Inhibitor,"Headache, Rash",1965,Omeprazole,Glucophage,Low Risk,Liver Metabolism,Phase 1,No Preclinical Data,MAPK Pathway,Topical Gel,250mg every 8 hours,Roche,6,Low,High Risk,Moderate (50-80%),Fast,Enzyme-Specific,Suitable
Paracetamol,Acid Reflux,Alzheimer's,50.97,C9H8O4,COX Inhibitor,"Headache, Rash",1987,Metformin Hydrochloride,Lipitor,Low Risk,Rapid Absorption,Completed,In Vitro Studies,Immune Response Pathway,Capsule,10mg once daily,AstraZeneca,24,Low,Moderate Risk,High (>80%),Slow,Liver,Partially Suitable
Ranitidine,Diabetes,Cardiovascular Disease,39.08,C13H18O2,COX Inhibitor,Gastrointestinal Issues,1965,Omeprazole,Prilosec,Low Risk,Renal Excretion,Ongoing,Animal Testing,MAPK Pathway,Injection,500mg twice a day,Pfizer,2,Moderate,Moderate Risk,Moderate (50-80%),Moderate,Liver,Not Suitable
Simvastatin,Acid Reflux,Cancer Therapy,56.47,C4H11N5,Proton Pump Inhibitor,Gastrointestinal Issues,1987,Ibuprofen,Aspirin,Moderate Risk,Rapid Absorption,Phase 2,No Preclinical Data,Dopaminergic Pathway,Injection,50mg daily,Novartis,2,Moderate,Low Risk,Moderate (50-80%),Moderate,Enzyme-Specific,Partially Suitable
Levothyroxine,Thyroid Hormone Replacement,Autoimmune Disorders,34.84,C17H19N3O3S,AMPK Activator,Acid Reflux,1971,Omeprazole,Aspirin,Low Risk,Liver Metabolism,Ongoing,Animal Testing,Serotonin Pathway,Syrup,As prescribed,Merck,48,Moderate,Moderate Risk,Moderate (50-80%),Slow,Liver,Suitable
Aspirin,Pain Relief,Autoimmune Disorders,74.02,C4H11N5,NSAID,Gastrointestinal Issues,1996,Atorvastatin Calcium,Glucophage,Moderate Risk,Slow Metabolism,Phase 3,Animal Testing,Serotonin Pathway,Syrup,10mg once daily,Novartis,24,High,Low Risk,High (>80%),Moderate,Liver,Partially Suitable
Metformin,Acid Reflux,Cancer Therapy,76.11,C33H35FN2O5,NSAID,Gastrointestinal Issues,1996,Omeprazole,Glucophage,High Risk,High Bioavailability,Completed,Animal Testing,Serotonin Pathway,Topical Gel,As prescribed,Pfizer,6,Moderate,High Risk,Low (<50%),Moderate,Renal,Not Suitable
Ibuprofen,Acid Reflux,Cancer Therapy,50.46,C33H35FN2O5,COX Inhibitor,Gastrointestinal Issues,1994,Atorvastatin Calcium,Aspirin,Moderate Risk,Slow Metabolism,Phase 4,In Vitro Studies,MAPK Pathway,Topical Gel,50mg daily,Merck,2,High,High Risk,High (>80%),Fast,Renal,Not Suitable
Atorvastatin,Pain Relief,Parkinson's,66.79,C17H19N3O3S,COX Inhibitor,"Headache, Rash",1971,Ibuprofen,Lipitor,Low Risk,Slow Metabolism,Phase 4,No Preclinical Data,PI3K-AKT Pathway,Capsule,500mg twice a day,Novartis,12,Moderate,Moderate Risk,Low (<50%),Slow,Enzyme-Specific,Suitable
Omeprazole,Pain Relief,Antiviral,65.39,C9H8O4,COX Inhibitor,Gastrointestinal Issues,1971,Omeprazole,Aspirin,High Risk,High Bioavailability,Ongoing,Animal Testing,Serotonin Pathway,Syrup,As prescribed,Merck,24,Moderate,Low Risk,High (>80%),Slow,Renal,Partially Suitable
Losartan,Gastric Ulcer,Antiviral,80.15,C33H35FN2O5,COX Inhibitor,Gastrointestinal Issues,1996,Metformin Hydrochloride,Advil,Moderate Risk,High Bioavailability,Phase 4,No Preclinical Data,Dopaminergic Pathway,Syrup,50mg daily,Novartis,6,Low,Low Risk,High (>80%),Fast,Enzyme-Specific,Suitable
Paracetamol,Thyroid Hormone Replacement,Migraine Treatment,46.39,C33H35FN2O5,NSAID,"Headache, Rash",1965,Atorvastatin Calcium,Prilosec,Low Risk,Liver Metabolism,Phase 2,No Preclinical Data,PI3K-AKT Pathway,Capsule,250mg every 8 hours,Novartis,2,Low,High Risk,Moderate (50-80%),Fast,Liver,Suitable
Ranitidine,Gastric Ulcer,Antiviral,65.2,C33H35FN2O5,NSAID,Acid Reflux,1994,Metformin Hydrochloride,Prilosec,Low Risk,Liver Metabolism,Phase 1,Toxicology Report,MAPK Pathway,Tablet,50mg daily,Novartis,12,Low,High Risk,High (>80%),Moderate,Enzyme-Specific,Partially Suitable
Simvastatin,Pain Relief,Cardiovascular Disease,66.89,C9H8O4,NSAID,Gastrointestinal Issues,1965,Ibuprofen,Advil,Moderate Risk,Liver Metabolism,Phase 3,No Preclinical Data,PI3K-AKT Pathway,Injection,50mg daily,Roche,24,Moderate,Low Risk,High (>80%),Fast,Gut,Partially Suitable
Levothyroxine,Fever,Alzheimer's,54.9,C9H8O4,NSAID,Muscle Pain,1965,Ibuprofen,Glucophage,Low Risk,Renal Excretion,Phase 4,Animal Testing,PI3K-AKT Pathway,Injection,500mg twice a day,Merck,48,High,High Risk,Moderate (50-80%),Slow,Gut,Partially Suitable
Aspirin,Thyroid Hormone Replacement,Migraine Treatment,79.41,C9H8O4,HMG-CoA Reductase Inhibitor,Muscle Pain,1994,Metformin Hydrochloride,Prilosec,High Risk,Renal Excretion,Phase 3,Toxicology Report,Serotonin Pathway,Topical Gel,50mg daily,Merck,2,Low,Low Risk,Low (<50%),Moderate,Enzyme-Specific,Partially Suitable
Metformin,Gastric Ulcer,Anti-Aging,88.3,C33H35FN2O5,AMPK Activator,"Headache, Rash",1994,Metformin Hydrochloride,Glucophage,Low Risk,Rapid Absorption,Phase 3,Toxicology Report,Serotonin Pathway,Injection,250mg every 8 hours,Pfizer,12,Low,Moderate Risk,Low (<50%),Fast,Gut,Not Suitable
Ibuprofen,Hypertension,Liver Disease,34.1,C9H8O4,HMG-CoA Reductase Inhibitor,Gastrointestinal Issues,1965,Omeprazole,Advil,High Risk,Slow Metabolism,Completed,Toxicology Report,Serotonin Pathway,Capsule,500mg twice a day,Merck,48,High,Moderate Risk,Low (<50%),Fast,Liver,Partially Suitable
Atorvastatin,Pain Relief,Liver Disease,63.15,C13H18O2,AMPK Activator,Muscle Pain,1965,Metformin Hydrochloride,Advil,Low Risk,Rapid Absorption,Phase 2,Toxicology Report,PI3K-AKT Pathway,Injection,50mg daily,AstraZeneca,6,Low,High Risk,Moderate (50-80%),Slow,Enzyme-Specific,Not Suitable
Omeprazole,Acid Reflux,Liver Disease,73.83,C17H19N3O3S,NSAID,Muscle Pain,1996,Atorvastatin Calcium,Glucophage,High Risk,Rapid Absorption,Phase 1,In Vitro Studies,Dopaminergic Pathway,Syrup,10mg once daily,Pfizer,12,Low,Low Risk,High (>80%),Slow,Enzyme-Specific,Suitable
Losartan,Inflammation,Liver Disease,84.96,C13H18O2,COX Inhibitor,Acid Reflux,1994,Omeprazole,Advil,Moderate Risk,Renal Excretion,Phase 3,No Preclinical Data,PI3K-AKT Pathway,Tablet,10mg once daily,Novartis,2,Low,Moderate Risk,High (>80%),Moderate,Enzyme-Specific,Not Suitable
Paracetamol,Inflammation,Anti-Aging,73.43,C9H8O4,Proton Pump Inhibitor,"Nausea, Dizziness",1987,Ibuprofen,Lipitor,Moderate Risk,Liver Metabolism,Phase 1,Animal Testing,Dopaminergic Pathway,Injection,50mg daily,Pfizer,6,Moderate,Moderate Risk,Moderate (50-80%),Moderate,Renal,Not Suitable
Ranitidine,Thyroid Hormone Replacement,Cancer Therapy,89.33,C17H19N3O3S,Proton Pump Inhibitor,Muscle Pain,1987,Acetylsalicylic Acid,Prilosec,Moderate Risk,Renal Excretion,Phase 1,Animal Testing,Dopaminergic Pathway,Syrup,10mg once daily,Merck,24,High,Moderate Risk,Low (<50%),Fast,Renal,Not Suitable
Simvastatin,Pain Relief,Weight Loss,83.77,C9H8O4,HMG-CoA Reductase Inhibitor,Acid Reflux,1996,Omeprazole,Glucophage,Low Risk,Renal Excretion,Ongoing,Animal Testing,MAPK Pathway,Syrup,As prescribed,Roche,24,High,Low Risk,High (>80%),Moderate,Liver,Suitable
Levothyroxine,Thyroid Hormone Replacement,Autoimmune Disorders,38.07,C9H8O4,NSAID,Gastrointestinal Issues,1996,Omeprazole,Glucophage,Low Risk,High Bioavailability,Ongoing,Toxicology Report,Dopaminergic Pathway,Capsule,As prescribed,Novartis,48,High,Moderate Risk,Low (<50%),Slow,Enzyme-Specific,Partially Suitable
Aspirin,Acid Reflux,Liver Disease,77.71,C13H18O2,COX Inhibitor,"Nausea, Dizziness",1987,Ibuprofen,Lipitor,Low Risk,Liver Metabolism,Phase 3,No Preclinical Data,Dopaminergic Pathway,Capsule,As prescribed,Merck,24,High,Moderate Risk,Moderate (50-80%),Moderate,Enzyme-Specific,Not Suitable
Metformin,Fever,Autoimmune Disorders,34,C13H18O2,NSAID,Gastrointestinal Issues,1996,Metformin Hydrochloride,Glucophage,High Risk,High Bioavailability,Phase 4,Toxicology Report,Immune Response Pathway,Capsule,10mg once daily,Pfizer,24,Low,Moderate Risk,Moderate (50-80%),Fast,Gut,Suitable
Ibuprofen,Pain Relief,Weight Loss,62.94,C9H8O4,NSAID,Muscle Pain,1965,Atorvastatin Calcium,Advil,Moderate Risk,Liver Metabolism,Phase 1,Toxicology Report,Dopaminergic Pathway,Capsule,10mg once daily,Merck,48,Moderate,Low Risk,Moderate (50-80%),Slow,Enzyme-Specific,Not Suitable
Atorvastatin,Cholesterol Control,Anti-Aging,78.24,C4H11N5,HMG-CoA Reductase Inhibitor,"Nausea, Dizziness",1996,Acetylsalicylic Acid,Aspirin,Moderate Risk,Liver Metabolism,Phase 4,Toxicology Report,Dopaminergic Pathway,Syrup,50mg daily,AstraZeneca,6,Low,Moderate Risk,Low (<50%),Slow,Gut,Partially Suitable
Omeprazole,Blood Thinner,Autoimmune Disorders,69.52,C17H19N3O3S,COX Inhibitor,"Headache, Rash",1971,Omeprazole,Lipitor,Moderate Risk,Renal Excretion,Phase 4,No Preclinical Data,Immune Response Pathway,Capsule,500mg twice a day,Novartis,6,Low,High Risk,Low (<50%),Moderate,Gut,Not Suitable
Losartan,Acid Reflux,Anti-Aging,31.04,C13H18O2,HMG-CoA Reductase Inhibitor,Acid Reflux,1987,Omeprazole,Glucophage,High Risk,Rapid Absorption,Ongoing,In Vitro Studies,Serotonin Pathway,Tablet,50mg daily,Novartis,2,High,Low Risk,High (>80%),Slow,Gut,Not Suitable
Paracetamol,Hypertension,Anti-Aging,92.4,C33H35FN2O5,AMPK Activator,Acid Reflux,1996,Acetylsalicylic Acid,Prilosec,Moderate Risk,Slow Metabolism,Completed,No Preclinical Data,Immune Response Pathway,Capsule,10mg once daily,AstraZeneca,48,High,High Risk,High (>80%),Moderate,Renal,Suitable
Ranitidine,Diabetes,Weight Loss,52.07,C9H8O4,AMPK Activator,Gastrointestinal Issues,1965,Atorvastatin Calcium,Prilosec,Low Risk,Slow Metabolism,Phase 2,Animal Testing,PI3K-AKT Pathway,Topical Gel,10mg once daily,Novartis,2,High,Moderate Risk,Low (<50%),Moderate,Liver,Suitable
Simvastatin,Hypertension,Anti-Aging,92.55,C33H35FN2O5,AMPK Activator,Acid Reflux,1965,Atorvastatin Calcium,Lipitor,High Risk,Renal Excretion,Phase 2,In Vitro Studies,Dopaminergic Pathway,Syrup,As prescribed,Novartis,6,Moderate,Moderate Risk,Moderate (50-80%),Fast,Enzyme-Specific,Suitable
Levothyroxine,Inflammation,Migraine Treatment,55.9,C17H19N3O3S,AMPK Activator,"Headache, Rash",1994,Acetylsalicylic Acid,Glucophage,High Risk,High Bioavailability,Completed,In Vitro Studies,Dopaminergic Pathway,Tablet,250mg every 8 hours,Pfizer,12,Moderate,Moderate Risk,Low (<50%),Slow,Liver,Not Suitable
Aspirin,Cholesterol Control,Alzheimer's,56.34,C4H11N5,AMPK Activator,"Headache, Rash",1965,Atorvastatin Calcium,Lipitor,Moderate Risk,Rapid Absorption,Phase 2,Toxicology Report,Immune Response Pathway,Tablet,50mg daily,Pfizer,48,Moderate,High Risk,Moderate (50-80%),Moderate,Enzyme-Specific,Suitable
Metformin,Inflammation,Anti-Aging,55.54,C17H19N3O3S,Proton Pump Inhibitor,Gastrointestinal Issues,1996,Metformin Hydrochloride,Prilosec,Moderate Risk,Liver Metabolism,Phase 3,Toxicology Report,Immune Response Pathway,Syrup,250mg every 8 hours,Novartis,24,High,Low Risk,High (>80%),Fast,Renal,Suitable
Ibuprofen,Pain Relief,Liver Disease,93.16,C33H35FN2O5,HMG-CoA Reductase Inhibitor,"Nausea, Dizziness",1965,Metformin Hydrochloride,Glucophage,Low Risk,Renal Excretion,Ongoing,In Vitro Studies,MAPK Pathway,Topical Gel,10mg once daily,Roche,6,High,Moderate Risk,Low (<50%),Fast,Enzyme-Specific,Partially Suitable
Atorvastatin,Cholesterol Control,Anti-Aging,60.22,C33H35FN2O5,Proton Pump Inhibitor,"Headache, Rash",1987,Ibuprofen,Aspirin,High Risk,Liver Metabolism,Phase 2,Animal Testing,Dopaminergic Pathway,Topical Gel,500mg twice a day,Merck,48,High,Low Risk,Low (<50%),Fast,Enzyme-Specific,Suitable
Omeprazole,Inflammation,Autoimmune Disorders,46.84,C17H19N3O3S,COX Inhibitor,Muscle Pain,1994,Metformin Hydrochloride,Glucophage,Moderate Risk,High Bioavailability,Phase 1,No Preclinical Data,Serotonin Pathway,Capsule,As prescribed,Novartis,24,High,Low Risk,Moderate (50-80%),Fast,Gut,Suitable
Losartan,Diabetes,Cardiovascular Disease,89.43,C13H18O2,COX Inhibitor,"Headache, Rash",1971,Atorvastatin Calcium,Advil,High Risk,Rapid Absorption,Phase 1,Toxicology Report,Immune Response Pathway,Topical Gel,50mg daily,Roche,2,Moderate,Low Risk,High (>80%),Slow,Enzyme-Specific,Suitable
Paracetamol,Blood Thinner,Alzheimer's,72.42,C4H11N5,HMG-CoA Reductase Inhibitor,"Nausea, Dizziness",1996,Omeprazole,Aspirin,Moderate Risk,Rapid Absorption,Completed,Toxicology Report,Immune Response Pathway,Syrup,250mg every 8 hours,Roche,6,Low,Low Risk,Moderate (50-80%),Slow,Enzyme-Specific,Not Suitable
Ranitidine,Cholesterol Control,Migraine Treatment,40.08,C17H19N3O3S,HMG-CoA Reductase Inhibitor,"Nausea, Dizziness",1987,Acetylsalicylic Acid,Lipitor,Low Risk,Slow Metabolism,Phase 1,In Vitro Studies,PI3K-AKT Pathway,Capsule,As prescribed,Merck,48,Moderate,High Risk,Low (<50%),Slow,Gut,Suitable
Simvastatin,Fever,Alzheimer's,43.52,C13H18O2,HMG-CoA Reductase Inhibitor,"Nausea, Dizziness",1987,Ibuprofen,Advil,Moderate Risk,Slow Metabolism,Phase 4,No Preclinical Data,PI3K-AKT Pathway,Capsule,As prescribed,Merck,12,Moderate,Moderate Risk,High (>80%),Slow,Gut,Suitable
Levothyroxine,Diabetes,Liver Disease,79.93,C17H19N3O3S,AMPK Activator,"Nausea, Dizziness",1996,Omeprazole,Aspirin,High Risk,Liver Metabolism,Phase 1,Animal Testing,PI3K-AKT Pathway,Capsule,250mg every 8 hours,Roche,24,Low,Moderate Risk,Low (<50%),Slow,Enzyme-Specific,Partially Suitable
Aspirin,Diabetes,Liver Disease,41.81,C4H11N5,HMG-CoA Reductase Inhibitor,Acid Reflux,1987,Omeprazole,Advil,High Risk,Liver Metabolism,Phase 4,Toxicology Report,Immune Response Pathway,Syrup,10mg once daily,AstraZeneca,24,Low,Moderate Risk,High (>80%),Slow,Renal,Partially Suitable
Metformin,Inflammation,Parkinson's,71.76,C9H8O4,AMPK Activator,Gastrointestinal Issues,1994,Omeprazole,Aspirin,Low Risk,Renal Excretion,Completed,In Vitro Studies,Serotonin Pathway,Injection,50mg daily,AstraZeneca,2,High,High Risk,High (>80%),Fast,Liver,Partially Suitable
Ibuprofen,Gastric Ulcer,Alzheimer's,56.44,C9H8O4,HMG-CoA Reductase Inhibitor,"Nausea, Dizziness",1994,Metformin Hydrochloride,Glucophage,Moderate Risk,Liver Metabolism,Ongoing,Animal Testing,Dopaminergic Pathway,Syrup,As prescribed,AstraZeneca,24,Moderate,Moderate Risk,Moderate (50-80%),Moderate,Renal,Suitable
Atorvastatin,Hypertension,Autoimmune Disorders,78.76,C33H35FN2O5,COX Inhibitor,Gastrointestinal Issues,1987,Atorvastatin Calcium,Lipitor,Moderate Risk,Slow Metabolism,Phase 1,No Preclinical Data,Immune Response Pathway,Capsule,As prescribed,Pfizer,48,High,Low Risk,High (>80%),Moderate,Liver,Not Suitable
Omeprazole,Inflammation,Autoimmune Disorders,59.55,C9H8O4,Proton Pump Inhibitor,Muscle Pain,1987,Acetylsalicylic Acid,Glucophage,High Risk,Slow Metabolism,Completed,Animal Testing,Immune Response Pathway,Injection,As prescribed,Merck,2,High,Low Risk,High (>80%),Slow,Renal,Partially Suitable
Losartan,Gastric Ulcer,Alzheimer's,73.73,C17H19N3O3S,AMPK Activator,"Headache, Rash",1987,Metformin Hydrochloride,Lipitor,Low Risk,High Bioavailability,Phase 2,No Preclinical Data,MAPK Pathway,Capsule,10mg once daily,Merck,48,Moderate,Low Risk,Low (<50%),Slow,Liver,Not Suitable
Paracetamol,Inflammation,Weight Loss,40.72,C17H19N3O3S,COX Inhibitor,"Nausea, Dizziness",1965,Ibuprofen,Advil,Low Risk,High Bioavailability,Phase 2,In Vitro Studies,Immune Response Pathway,Capsule,10mg once daily,Novartis,2,Moderate,High Risk,Low (<50%),Fast,Enzyme-Specific,Partially Suitable
